Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI,Notes
Ostrea lurida,Yellow,19,21˚C,Tide,15˚C,7,6,E7,0.0173,0.0338,0.0325,0.0152,0.0013,15.2,1.3,8.553,
Ostrea lurida,Yellow,19,21˚C,Tide,15˚C,3,6,E3,0.0159,0.0237,0.0231,0.0072,0.0006,7.2,0.6,8.333,
Ostrea lurida,Yellow,19,21˚C,Tide,15˚C,8,6,E8,0.0172,0.0263,0.0256,0.0084,0.0007,8.4,0.7,8.333,
Ostrea lurida,Yellow,19,21˚C,Tide,15˚C,9,6,E9,0.0165,0.0257,0.025,0.0085,0.0007,8.5,0.7,8.235,
Ostrea lurida,Yellow,19,21˚C,Tide,15˚C,5,6,E5,0.0187,0.0291,0.0284,0.0097,0.0007,9.7,0.7,7.216,
Ostrea lurida,Yellow,19,21˚C,Tide,15˚C,10,6,E10,0.0202,0.0425,0.0411,0.0209,0.0014,20.9,1.4,6.699,
Ostrea lurida,Yellow,19,21˚C,Tide,15˚C,1,6,E1,0.0185,0.026,0.0256,0.0071,0.0004,7.1,0.4,5.634,
Ostrea lurida,Yellow,19,21˚C,Tide,15˚C,4,6,E4,0.0206,0.0396,0.0386,0.018,0.001,18,1,5.556,
Ostrea lurida,Yellow,19,21˚C,Tide,21˚C,6,6,F4,0.0289,0.0514,0.0499,0.021,0.0015,21,1.5,7.143,
Ostrea lurida,Yellow,19,21˚C,Tide,21˚C,7,6,F5,0.0303,0.0656,0.0634,0.0331,0.0022,33.1,2.2,6.647,
Ostrea lurida,Yellow,19,21˚C,Tide,21˚C,3,6,F1,0.0268,0.0367,0.0361,0.0093,0.0006,9.3,0.6,6.452,
Ostrea lurida,Yellow,19,21˚C,Tide,21˚C,4,6,F2,0.0302,0.0485,0.0474,0.0172,0.0011,17.2,1.1,6.395,
Ostrea lurida,Yellow,19,21˚C,Tide,21˚C,9,6,F7,0.0164,0.0266,0.026,0.0096,0.0006,9.6,0.6,6.250,
Ostrea lurida,Yellow,19,21˚C,Tide,21˚C,8,6,F6,0.0201,0.0306,0.03,0.0099,0.0006,9.9,0.6,6.061,
Ostrea lurida,Yellow,19,21˚C,Tide,21˚C,1,6,E11,0.0158,0.0298,0.029,0.0132,0.0008,13.2,0.8,6.061,
Ostrea lurida,Yellow,19,21˚C,Tide,21˚C,5,6,F3,0.0181,0.0326,0.0318,0.0137,0.0008,13.7,0.8,5.839,
Ostrea lurida,Yellow,19,21˚C,Tide,21˚C,2,6,E12,0.0173,0.0328,0.032,0.0147,0.0008,14.7,0.8,5.442,
Ostrea lurida,Yellow,19,21˚C,Tide,21˚C,10,6,F8,0.0179,0.0305,0.0299,0.012,0.0006,12,0.6,5.000,
Ostrea lurida,Yellow,18,21˚C,No Tide,15˚C,10,6,D2,0.0206,0.051,0.0481,0.0275,0.0029,27.5,2.9,10.545,
Ostrea lurida,Yellow,18,21˚C,No Tide,15˚C,7,6,C11,0.0171,0.0287,0.0276,0.0105,0.0011,10.5,1.1,10.476,
Ostrea lurida,Yellow,18,21˚C,No Tide,15˚C,9,6,D1,0.0209,0.0533,0.0507,0.0298,0.0026,29.8,2.6,8.725,
Ostrea lurida,Yellow,18,21˚C,No Tide,15˚C,3,6,C7,0.0173,0.0406,0.0388,0.0215,0.0018,21.5,1.8,8.372,
Ostrea lurida,Yellow,18,21˚C,No Tide,15˚C,5,6,C9,0.0147,0.0203,0.0199,0.0052,0.0004,5.2,0.4,7.692,
Ostrea lurida,Yellow,18,21˚C,No Tide,15˚C,1,6,C5,0.0286,0.0389,0.0382,0.0096,0.0007,9.6,0.7,7.292,
Ostrea lurida,Yellow,18,21˚C,No Tide,15˚C,8,6,C12,0.0194,0.0511,0.049,0.0296,0.0021,29.6,2.1,7.095,
Ostrea lurida,Yellow,18,21˚C,No Tide,15˚C,2,6,C6,0.019,0.0301,0.0294,0.0104,0.0007,10.4,0.7,6.731,
Ostrea lurida,Yellow,18,21˚C,No Tide,15˚C,6,6,C10,0.016,0.0318,0.0309,0.0149,0.0009,14.9,0.9,6.040,
Ostrea lurida,Yellow,18,21˚C,No Tide,15˚C,4,6,C8,0.0162,0.0339,0.0329,0.0167,0.001,16.7,1,5.988,
Ostrea lurida,Yellow,18,21˚C,No Tide,21˚C,10,6,D12,0.021,0.021,0.0209,0.0001,0.0001,0.1,0.1,NA,*DEAD*
Ostrea lurida,Yellow,18,21˚C,No Tide,21˚C,1,6,D3,0.0172,0.0236,0.023,0.0058,0.0006,5.8,0.6,10.345,
Ostrea lurida,Yellow,18,21˚C,No Tide,21˚C,5,6,D7,0.0193,0.0311,0.03,0.0107,0.0011,10.7,1.1,10.280,
Ostrea lurida,Yellow,18,21˚C,No Tide,21˚C,6,6,D8,0.0173,0.0361,0.0348,0.0175,0.0013,17.5,1.3,7.429,
Ostrea lurida,Yellow,18,21˚C,No Tide,21˚C,8,6,D10,0.0182,0.0318,0.031,0.0128,0.0008,12.8,0.8,6.250,
Ostrea lurida,Yellow,18,21˚C,No Tide,21˚C,3,6,D5,0.0175,0.0328,0.0319,0.0144,0.0009,14.4,0.9,6.250,
Ostrea lurida,Yellow,18,21˚C,No Tide,21˚C,4,6,D6,0.0188,0.0526,0.0507,0.0319,0.0019,31.9,1.9,5.956,
Ostrea lurida,Yellow,18,21˚C,No Tide,21˚C,9,6,D11,0.02,0.0386,0.0377,0.0177,0.0009,17.7,0.9,5.085,
