Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI,Notes
Ostrea lurida,Yellow,10,18,No Tide,15,4,4,H12,0.0144,0.031,0.0295,0.0151,0.0015,15.1,1.5,9.934,NA
Ostrea lurida,Yellow,10,18,No Tide,15,5,5,A1,0.0178,0.0291,0.0284,0.0106,7e-4,10.6,0.7,6.604,NA
Ostrea lurida,Yellow,10,18,No Tide,15,6,5,A2,0.0229,0.0297,0.0294,0.0065,3e-4,6.5,0.3,4.615,NA
Ostrea lurida,Yellow,10,18,No Tide,15,7,5,A3,0.0185,0.0433,0.0421,0.0236,0.0012,23.6,1.2,5.085,NA
Ostrea lurida,Yellow,10,18,No Tide,15,8,5,A4,0.0196,0.0543,0.0527,0.0331,0.0016,33.1,1.6,4.834,NA
Ostrea lurida,Yellow,10,18,No Tide,15,9,5,A5,0.0174,0.0253,0.0246,0.0072,7e-4,7.2,0.7,9.722,NA
Ostrea lurida,Yellow,10,18,No Tide,15,10,5,A6,0.0228,0.0527,0.051,0.0282,0.0017,28.2,1.7,6.028,NA
Ostrea lurida,Yellow,10,18,No Tide,21,1,5,A7,0.0189,0.0324,0.0316,0.0127,8e-4,12.7,0.8,6.299,NA
Ostrea lurida,Yellow,10,18,No Tide,21,2,5,A8,0.0189,0.0339,0.0328,0.0139,0.0011,13.9,1.1,7.914,NA
Ostrea lurida,Yellow,10,18,No Tide,21,3,5,A9,0.0187,0.0427,0.0403,0.0216,0.0024,21.6,2.4,11.111,NA
Ostrea lurida,Yellow,10,18,No Tide,21,4,5,A10,0.0189,0.0304,0.0295,0.0106,9e-4,10.6,0.9,8.491,NA
Ostrea lurida,Yellow,10,18,No Tide,21,5,5,A11,0.018,0.0426,0.0406,0.0226,0.002,22.6,2,8.85,NA
Ostrea lurida,Yellow,10,18,No Tide,21,6,5,A12,0.0183,0.0274,0.0267,0.0084,7e-4,8.4,0.7,8.333,NA
Ostrea lurida,Yellow,10,18,No Tide,21,7,5,B1,0.0192,0.0306,0.0298,0.0106,8e-4,10.6,0.8,7.547,NA
Ostrea lurida,Yellow,10,18,No Tide,21,8,5,B2,0.0174,0.0249,0.0243,0.0069,6e-4,6.9,0.6,8.696,NA
Ostrea lurida,Yellow,10,18,No Tide,21,9,5,B3,0.0186,0.0245,0.0239,0.0053,6e-4,5.3,0.6,11.321,NA
Ostrea lurida,Yellow,10,18,No Tide,21,10,5,B4,0.0198,0.0447,0.0423,0.0225,0.0024,22.5,2.4,10.667,NA
Ostrea lurida,Yellow,11,24,Tide,15,1,5,B5,0.0171,0.0423,0.0409,0.0238,0.0014,23.8,1.4,5.882,NA
Ostrea lurida,Yellow,11,24,Tide,15,2,5,B6,0.0146,0.0236,0.0229,0.0083,7e-4,8.3,0.7,8.434,NA
Ostrea lurida,Yellow,11,24,Tide,15,3,5,B7,0.0202,0.035,0.0342,0.014,8e-4,14,0.8,5.714,NA
Ostrea lurida,Yellow,11,24,Tide,15,4,5,B8,0.021,0.0388,0.0379,0.0169,9e-4,16.9,0.9,5.325,NA
Ostrea lurida,Yellow,11,24,Tide,15,5,5,B9,0.0226,0.0374,0.0365,0.0139,9e-4,13.9,0.9,6.475,NA
Ostrea lurida,Yellow,11,24,Tide,15,6,5,B10,0.0147,0.0275,0.027,0.0123,5e-4,12.3,0.5,4.065,NA
Ostrea lurida,Yellow,11,24,Tide,15,7,5,B11,0.0201,0.0357,0.0347,0.0146,0.001,14.6,1,6.849,NA
Ostrea lurida,Yellow,11,24,Tide,15,8,5,B12,0.0129,0.0316,0.0316,0.0187,0,18.7,0,0,*DEAD*
Ostrea lurida,Yellow,11,24,Tide,15,9,5,C1,0.0106,0.0303,0.0291,0.0185,0.0012,18.5,1.2,6.486,NA
Ostrea lurida,Yellow,11,24,Tide,15,10,5,C2,0.0136,0.0296,0.2871,0.2735,-0.2575,273.5,-257.5,-94.15,NA
Ostrea lurida,Yellow,11,24,Tide,21,1,5,C3,0.0129,0.0254,0.0245,0.0116,9e-4,11.6,0.9,7.759,NA
Ostrea lurida,Yellow,11,24,Tide,21,2,5,C4,0.0153,0.0391,0.0377,0.0224,0.0014,22.4,1.4,6.25,NA
