Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI
Ostrea lurida,Yellow,3,15,Tide,15,10,1,H6,0.0195,0.0268,0.0262,0.0067,6e-4,6.7,0.6,8.955
Ostrea lurida,Yellow,10,18,No Tide,15,2,4,H10,0.0154,0.0288,0.0277,0.0123,0.0011,12.3,1.1,8.943
Ostrea lurida,Yellow,8,18,Tide,21,8,4,A10,0.0132,0.0388,0.0367,0.0235,0.0021,23.5,2.1,8.936
Ostrea lurida,Yellow,5,15,Tide,15,5,2,F9,0.0195,0.0281,0.0274,0.0079,7e-4,7.9,0.7,8.861
Ostrea lurida,Yellow,10,18,No Tide,21,5,5,A11,0.018,0.0426,0.0406,0.0226,0.002,22.6,2,8.85
Ostrea lurida,Yellow,4,15,Tide,15,4,2,C4,0.0212,0.0311,0.0303,0.0091,8e-4,9.1,0.8,8.791
Ostrea lurida,Yellow,16,21,Tide,21,7,5,D5,0.0203,0.0327,0.0317,0.0114,0.001,11.4,1,8.772
Ostrea lurida,Yellow,2,15,Tide,21,10,1,E12,0.0162,0.0224,0.0219,0.0057,5e-4,5.7,0.5,8.772
Ostrea lurida,Yellow,9,18,No Tide,15,4,4,E8,0.0136,0.0198,0.0193,0.0057,5e-4,5.7,0.5,8.772
Ostrea lurida,Yellow,9,18,Tide,21,5,4,D11,0.0138,0.0287,0.0275,0.0137,0.0012,13.7,1.2,8.759
Ostrea lurida,Yellow,18,21,No Tide,15,9,6,D1,0.0209,0.0533,0.0507,0.0298,0.0026,29.8,2.6,8.725
Ostrea lurida,Yellow,10,18,No Tide,21,8,5,B2,0.0174,0.0249,0.0243,0.0069,6e-4,6.9,0.6,8.696
Ostrea lurida,Yellow,16,21,Tide,21,6,5,D4,0.0203,0.0303,0.0295,0.0092,8e-4,9.2,0.8,8.696
Ostrea lurida,Yellow,12,24,No Tide,21,3,5,H5,0.0126,0.0189,0.0184,0.0058,5e-4,5.8,0.5,8.621
Ostrea lurida,Yellow,6,18,Tide,15,2,3,A10,0.0172,0.0298,0.0288,0.0116,0.001,11.6,1,8.621
Ostrea lurida,Yellow,20,21,Tide,15,2,6,H6,0.02,0.0301,0.0293,0.0093,8e-4,9.3,0.8,8.602
Ostrea lurida,Yellow,5,15,Tide,15,2,2,F6,0.0217,0.0293,0.0287,0.007,6e-4,7,0.6,8.571
Ostrea lurida,Yellow,14,24,No Tide,21,9,5,G7,0.0189,0.0265,0.0259,0.007,6e-4,7,0.6,8.571
Ostrea lurida,Yellow,19,21,Tide,15,7,6,E7,0.0173,0.0338,0.0325,0.0152,0.0013,15.2,1.3,8.553
Ostrea lurida,Yellow,10,18,Tide,15,3,4,G3,0.0168,0.0295,0.0285,0.0117,0.001,11.7,1,8.547
Ostrea lurida,Yellow,20,21,No Tide,21,10,7,C8,0.0165,0.0254,0.0247,0.0082,7e-4,8.2,0.7,8.537
Ostrea lurida,Yellow,4,15,No Tide,15,4,2,D12,0.0169,0.0309,0.0298,0.0129,0.0011,12.9,1.1,8.527
Ostrea lurida,Yellow,11,24,No Tide,21,6,5,E4,0.0162,0.0264,0.0256,0.0094,8e-4,9.4,0.8,8.511
Ostrea lurida,Yellow,16,21,Tide,21,8,5,D6,0.0154,0.0256,0.0248,0.0094,8e-4,9.4,0.8,8.511
Ostrea lurida,Yellow,10,18,Tide,21,10,4,H8,0.0123,0.0289,0.0276,0.0153,0.0013,15.3,1.3,8.497
Ostrea lurida,Yellow,17,21,Tide,21,9,5,G11,0.0186,0.0301,0.0292,0.0106,9e-4,10.6,0.9,8.491
Ostrea lurida,Yellow,19,21,No Tide,21,9,6,H3,0.0185,0.03,0.0291,0.0106,9e-4,10.6,0.9,8.491
Ostrea lurida,Yellow,10,18,No Tide,21,4,5,A10,0.0189,0.0304,0.0295,0.0106,9e-4,10.6,0.9,8.491
Ostrea lurida,Yellow,4,15,Tide,15,9,2,C9,0.019,0.0305,0.0296,0.0106,9e-4,10.6,0.9,8.491
Ostrea lurida,Yellow,13,24,No Tide,21,4,5,C10,0.0191,0.0268,0.0262,0.0071,6e-4,7.1,0.6,8.451
Ostrea lurida,Yellow,11,24,Tide,15,2,5,B6,0.0146,0.0236,0.0229,0.0083,7e-4,8.3,0.7,8.434
Ostrea lurida,Yellow,17,21,Tide,21,2,5,G4,0.0162,0.0252,0.0245,0.0083,7e-4,8.3,0.7,8.434
Ostrea lurida,Yellow,14,24,Tide,15,6,5,D10,0.0183,0.0273,0.0266,0.0083,7e-4,8.3,0.7,8.434
Ostrea lurida,Yellow,17,21,Tide,15,8,5,F12,0.0197,0.03,0.0292,0.0095,8e-4,9.5,0.8,8.421
Ostrea lurida,Yellow,18,21,Tide,21,8,6,C2,0.02,0.0303,0.0295,0.0095,8e-4,9.5,0.8,8.421
Ostrea lurida,Yellow,16,21,No Tide,15,3,5,D11,0.0195,0.0311,0.0302,0.0107,9e-4,10.7,0.9,8.411
Ostrea lurida,Yellow,16,21,No Tide,15,6,5,E2,0.0223,0.0455,0.0437,0.0214,0.0018,21.4,1.8,8.411
Ostrea lurida,Yellow,7,18,No Tide,15,5,3,G1,0.0206,0.0322,0.0313,0.0107,9e-4,10.7,0.9,8.411
Ostrea lurida,Yellow,20,21,Tide,15,10,7,A2,0.0235,0.0364,0.0354,0.0119,0.001,11.9,1,8.403
Ostrea lurida,Yellow,19,21,No Tide,15,1,6,F9,0.016,0.0315,0.0303,0.0143,0.0012,14.3,1.2,8.392
Ostrea lurida,Yellow,20,21,Tide,21,9,7,A11,0.0197,0.0391,0.0376,0.0179,0.0015,17.9,1.5,8.38
Ostrea lurida,Yellow,19,21,No Tide,15,9,6,G5,0.0198,0.0392,0.0377,0.0179,0.0015,17.9,1.5,8.38
Ostrea lurida,Yellow,18,21,No Tide,15,3,6,C7,0.0173,0.0406,0.0388,0.0215,0.0018,21.5,1.8,8.372
Ostrea lurida,Yellow,8,18,Tide,15,2,3,H6,0.0146,0.0237,0.023,0.0084,7e-4,8.4,0.7,8.333
Ostrea lurida,Yellow,11,24,No Tide,15,9,5,D9,0.0218,0.0374,0.0362,0.0144,0.0012,14.4,1.2,8.333
Ostrea lurida,Yellow,19,21,Tide,15,3,6,E3,0.0159,0.0237,0.0231,0.0072,6e-4,7.2,0.6,8.333
Ostrea lurida,Yellow,10,18,No Tide,21,6,5,A12,0.0183,0.0274,0.0267,0.0084,7e-4,8.4,0.7,8.333
Ostrea lurida,Yellow,19,21,Tide,15,8,6,E8,0.0172,0.0263,0.0256,0.0084,7e-4,8.4,0.7,8.333
Ostrea lurida,Yellow,17,21,No Tide,21,3,6,A1,0.0165,0.0269,0.0261,0.0096,8e-4,9.6,0.8,8.333
Ostrea lurida,Yellow,17,21,No Tide,15,9,5,H9,0.0165,0.0373,0.0357,0.0192,0.0016,19.2,1.6,8.333
Ostrea lurida,Yellow,14,24,No Tide,21,5,5,G3,0.0187,0.0317,0.0307,0.012,0.001,12,1,8.333
Ostrea lurida,Yellow,15,24,No Tide,21,4,5,B6,0.0185,0.0355,0.0342,0.0157,0.0013,15.7,1.3,8.28
Ostrea lurida,Yellow,6,18,No Tide,15,9,3,D1,0.0165,0.0283,0.0274,0.0109,9e-4,10.9,0.9,8.257
Ostrea lurida,Yellow,14,24,No Tide,21,3,5,G1,0.0238,0.0343,0.0335,0.0097,8e-4,9.7,0.8,8.247
Ostrea lurida,Yellow,17,21,No Tide,15,6,5,H6,0.0182,0.0287,0.0279,0.0097,8e-4,9.7,0.8,8.247
Ostrea lurida,Yellow,19,21,Tide,15,9,6,E9,0.0165,0.0257,0.025,0.0085,7e-4,8.5,0.7,8.235
Ostrea lurida,Yellow,12,24,No Tide,15,2,5,G6,0.0146,0.0422,0.0401,0.0255,0.0021,25.5,2.1,8.235
Ostrea lurida,Yellow,16,21,Tide,15,6,5,C6,0.021,0.0381,0.0368,0.0158,0.0013,15.8,1.3,8.228
Ostrea lurida,Yellow,6,18,Tide,15,3,3,A11,0.0166,0.0337,0.0324,0.0158,0.0013,15.8,1.3,8.228
Ostrea lurida,Yellow,16,21,No Tide,15,10,5,E6,0.0218,0.0297,0.0291,0.0073,6e-4,7.3,0.6,8.219
Ostrea lurida,Yellow,15,24,Tide,15,7,5,H3,0.0194,0.0273,0.0267,0.0073,6e-4,7.3,0.6,8.219
Ostrea lurida,Yellow,10,18,Tide,15,7,4,G7,0.0225,0.0344,0.0335,0.011,9e-4,11,0.9,8.182
Ostrea lurida,Yellow,20,21,No Tide,15,5,7,B5,0.0174,0.028,0.0272,0.0098,8e-4,9.8,0.8,8.163
Ostrea lurida,Yellow,20,21,Tide,21,2,7,A4,0.0188,0.0321,0.0311,0.0123,0.001,12.3,1,8.13
Ostrea lurida,Yellow,12,24,No Tide,21,4,5,H6,0.0178,0.0311,0.0301,0.0123,0.001,12.3,1,8.13
Ostrea lurida,Yellow,4,15,Tide,21,8,2,D6,0.021,0.029,0.0284,0.0074,6e-4,7.4,0.6,8.108
Ostrea lurida,Yellow,2,15,No Tide,21,4,1,G2,0.0174,0.0254,0.0248,0.0074,6e-4,7.4,0.6,8.108
Ostrea lurida,Yellow,17,21,No Tide,15,10,5,H10,0.0187,0.0294,0.0286,0.0099,8e-4,9.9,0.8,8.081
